sgRNA	Gene	ctr	exp
Hoxd1_4	Hoxd1	7042	5343
Cenpf_3	Cenpf	5121	4794
Ndufaf6_3	Ndufaf6	1496	1356
Wdr55_1	Wdr55	3000	2265
Gm4745_2	Gm4745	5566	5114
Sos2_3	Sos2	4442	4062
Fbxl4_1	Fbxl4	2384	1804
Usp2_1	Usp2	3506	2943
Gcfc2_3	Gcfc2	650	404
Taz_2	Taz	1533	1344
Tor1aip1_3	Tor1aip1	783	625
Zfp64_1	Zfp64	2758	2265
Ibtk_4	Ibtk	3450	2442
Utp18_1	Utp18	2533	2197
Pfn1_1	Pfn1	309	348
Crbn_2	Crbn	2466	1641
Fosb_3	Fosb	5453	4565
Chmp2b_1	Chmp2b	4175	3376
Fgfr2_4	Fgfr2	7919	6549
Zbtb32_2	Zbtb32	6331	5118
Lrmp_1	Lrmp	1886	1520
Zc3hav1_2	Zc3hav1	3838	2921
Arfip2_5	Arfip2	1898	1544
Clspn_2	Clspn	2362	1757
Med15_4	Med15	943	481
Zbtb7a_1	Zbtb7a	9254	8973
Smarcd3_4	Smarcd3	1595	1105
Zfhx2_3	Zfhx2	4650	3847
Pfn1_2	Pfn1	851	726
Trip4_4	Trip4	4991	4790
Atp1a4_1	Atp1a4	2901	2185
Fdps_2	Fdps	2055	1714
Ide_1	Ide	4223	3326
Notch3_3	Notch3	2072	1958
Dusp8_1	Dusp8	2964	2361
Chd7_1	Chd7	2125	1872
Acad8_4	Acad8	4214	3480
Ipo11_3	Ipo11	1071	752
Fam169a_1	Fam169a	272	259
Ybx2_1	Ybx2	654	385
Nt5e_2	Nt5e	1636	1360
Ndufb4_4	Ndufb4	806	827
Bag1_4	Bag1	5286	4427
Nfatc1_4	Nfatc1	2111	1711
Utp3_3	Utp3	1275	1076
Bhmt_5	Bhmt	1788	1475
Mmab_4	Mmab	4918	4244
Cartpt_5	Cartpt	7156	6220
Rpl19_3	Rpl19	212	142
Fam53a_1	Fam53a	4006	3902
Taf7l_3	Taf7l	3867	3324
Myo1c_1	Myo1c	4055	3516
Evx1_4	Evx1	3483	2814
Zfp750_4	Zfp750	6333	5258
Agpat3_3	Agpat3	1540	1141
Myod1_3	Myod1	3206	3025
Sp4_1	Sp4	1393	1234
Phc2_4	Phc2	5205	4522
Mcmbp_3	Mcmbp	1532	1241
CTRL0119_1	CTRL0119	9449	7488
Scaf1_4	Scaf1	3106	2142
Add3_3	Add3	4248	3472
Cacna1s_2	Cacna1s	17252	14006
Rnf43_4	Rnf43	5398	4275
Fbxo18_1	Fbxo18	4955	4103
Hamp_1	Hamp	2662	2592
Gabre_1	Gabre	3318	3012
Dscr3_1	Dscr3	4862	4128
Crnkl1_2	Crnkl1	161	125
Kcnq2_3	Kcnq2	4963	3931
Kcnh8_1	Kcnh8	206	218
Fbxo25_1	Fbxo25	4065	3261
Crtc1_1	Crtc1	5930	4785
Gpc6_3	Gpc6	2019	1757
Slc25a10_1	Slc25a10	2179	2045
Rcor3_4	Rcor3	3606	2869
Psmc1_1	Psmc1	547	414
Hoxc5_2	Hoxc5	950	1159
Casp9_4	Casp9	4883	3666
P2rx7_1	P2rx7	4618	4200
Prpf4_3	Prpf4	1327	1025
Tnnc1_1	Tnnc1	6675	5676
Dhx30_3	Dhx30	1471	1143
Kpnb1_1	Kpnb1	425	536
Sstr5_1	Sstr5	852	717
Vkorc1_5	Vkorc1	3229	2157
Utp11l_4	Utp11l	2194	2037
Cenpo_3	Cenpo	1425	1104
Pde1a_4	Pde1a	7204	6184
Cidec_4	Cidec	1633	1006
Msantd4_3	Msantd4	4553	4166
Bag5_4	Bag5	4481	3626
Nelfb_3	Nelfb	1288	946
Ap3b2_1	Ap3b2	5404	4181
Tet1_3	Tet1	7020	5612
Tiparp_1	Tiparp	4330	3562
Tnks1bp1_4	Tnks1bp1	4402	3226
Mapk6_2	Mapk6	3922	3576
Ifrd2_2	Ifrd2	2504	1682
1110004E09Rik_2	1110004E09Rik	473	325
Thoc7_2	Thoc7	2191	1731
Sap30bp_3	Sap30bp	174	212
Rnaseh1_2	Rnaseh1	1774	1193
Tgfb1_4	Tgfb1	9306	6614
Fam50b_3	Fam50b	5335	4276
Aim2_2	Aim2	4102	3512
Zfp827_1	Zfp827	3797	3570
Sorl1_1	Sorl1	3974	3371
Gemin5_1	Gemin5	1031	1025
Tdrd12_1	Tdrd12	6612	6027
Plscr1_2	Plscr1	1153	1223
Theg_4	Theg	3723	3185
Ddx3y_1	Ddx3y	4354	3392
Snx20_2	Snx20	1577	1627
Ube2c_2	Ube2c	687	657
Ankrd42_4	Ankrd42	2121	1565
Cers5_2	Cers5	6344	4888
Rgs14_1	Rgs14	4841	4016
