sgRNA	Gene	ctr	exp
Afap1l1_3	Afap1l1	4924	4144
Prkcg_5	Prkcg	4144	3408
Ptpn18_1	Ptpn18	6445	5752
Stox1_2	Stox1	4459	3500
Dpyd_5	Dpyd	3000	2534
Chd9_4	Chd9	2663	1784
Cckbr_2	Cckbr	6829	5620
Polr2k_3	Polr2k	1686	1854
Brd9_2	Brd9	4412	4129
Wipi2_2	Wipi2	9902	8763
Zrsr1_3	Zrsr1	3759	3248
Gemin7_3	Gemin7	2277	1912
Hdac9_4	Hdac9	7211	5772
Zfp395_2	Zfp395	2747	2580
Sf3b3_3	Sf3b3	1309	1294
Ap5s1_4	Ap5s1	2381	2012
Wtap_4	Wtap	819	777
Shq1_2	Shq1	704	790
Dpf1_2	Dpf1	2503	2139
Dnajb4_3	Dnajb4	2920	2513
Prpf38a_2	Prpf38a	1287	1276
Prkcz_3	Prkcz	2970	2239
Pde3b_3	Pde3b	2726	2421
Enpp1_4	Enpp1	9670	8415
Zfp772_2	Zfp772	3267	2973
Phc3_1	Phc3	2578	2525
Glmp_4	Glmp	7872	7022
Acr_1	Acr	970	716
Cdkn2d_4	Cdkn2d	4418	3376
Dgcr8_3	Dgcr8	434	148
Igf2bp3_3	Igf2bp3	4891	4493
Hectd1_3	Hectd1	1432	1326
Cenpe_1	Cenpe	720	662
Ftsj2_4	Ftsj2	827	440
Pip5k1a_3	Pip5k1a	5196	5274
Hist1h2ba_2	Hist1h2ba	999	893
Med15_3	Med15	1641	1158
Wdr18_2	Wdr18	3169	2367
Adh1_4	Adh1	8044	6827
Mif_2	Mif	1941	1739
Hemgn_2	Hemgn	4263	3793
Lnx1_4	Lnx1	7809	6192
Tdp1_3	Tdp1	2717	1857
Mbd3l1_1	Mbd3l1	4182	3927
Gnb2l1_4	Gnb2l1	256	313
Apoa1_2	Apoa1	6753	5659
Arrb2_4	Arrb2	2954	2645
Wdr5_4	Wdr5	2023	1786
Skiv2l2_1	Skiv2l2	628	388
Pik3r4_2	Pik3r4	1463	1163
Tcf23_1	Tcf23	5661	4126
Pawr_1	Pawr	3595	3181
Eif3i_4	Eif3i	267	215
Manf_2	Manf	4967	3985
Cntf_3	Cntf	3504	3291
Ppp1cc_1	Ppp1cc	3408	3261
Ascc3_4	Ascc3	675	570
Cdc26_2	Cdc26	988	1231
Inip_1	Inip	8264	6631
Zfp110_2	Zfp110	224	222
Zfp668_2	Zfp668	3254	2856
Prdx4_4	Prdx4	2361	1736
Jak1_4	Jak1	1349	1025
Ggcx_3	Ggcx	5544	4627
Birc2_4	Birc2	3762	3113
Elof1_4	Elof1	2685	2467
Smarca2_1	Smarca2	965	466
Nabp2_2	Nabp2	3359	2693
Bnip3_2	Bnip3	3367	3204
H2afj_1	H2afj	2429	1654
Rock2_2	Rock2	6478	6171
Ap3b2_2	Ap3b2	2150	1585
Ddx24_3	Ddx24	1223	821
Onecut3_4	Onecut3	5850	4768
Thoc7_4	Thoc7	764	883
N4bp1_4	N4bp1	2214	1903
Alkbh5_3	Alkbh5	5146	3821
Ggnbp2_2	Ggnbp2	4959	4139
Vdac1_1	Vdac1	1930	1672
Nrm_4	Nrm	4079	3664
Slain2_1	Slain2	5885	5098
Rad18_2	Rad18	378	340
Msi1_1	Msi1	4501	4017
Zfp276_4	Zfp276	1061	1087
Tradd_2	Tradd	3936	3498
Hist1h2bb_4	Hist1h2bb	4892	4082
1110037F02Rik_3	1110037F02Rik	319	256
Mapkapk2_3	Mapkapk2	3827	3152
Clstn1_4	Clstn1	2500	2358
Irf2bpl_1	Irf2bpl	4491	3877
Pcbd2_3	Pcbd2	8810	7480
Shq1_4	Shq1	1448	999
Zfp738_4	Zfp738	880	629
Itga2_3	Itga2	4813	3652
Dusp22_3	Dusp22	9391	7077
P4ha2_1	P4ha2	5680	4453
Cul2_2	Cul2	1875	1595
Spag16_3	Spag16	5099	4586
Rorb_3	Rorb	952	806
Ctdsp2_3	Ctdsp2	2233	1923
Hoxc10_4	Hoxc10	3045	2342
Brix1_3	Brix1	585	418
Csta1_4	Csta1	6983	5728
Coq7_4	Coq7	1602	1424
Atp1b4_3	Atp1b4	5276	4500
Asf1a_1	Asf1a	12263	10826
Sgk1_3	Sgk1	2525	2033
Fam96b_3	Fam96b	1009	781
Kcne1_1	Kcne1	8965	7806
Nfic_4	Nfic	5181	4775
Sun5_2	Sun5	2894	2148
Pfdn2_2	Pfdn2	3193	3049
Onecut2_2	Onecut2	5010	4313
Nup35_3	Nup35	6204	5189
Plcb3_3	Plcb3	2070	1934
Palld_3	Palld	5301	4493
Nol6_2	Nol6	955	711
Fignl1_4	Fignl1	469	398
Cyc1_2	Cyc1	1199	1055
Casp12_1	Casp12	1442	1108
Polr2g_2	Polr2g	551	298
Itgav_3	Itgav	2134	1695
Zhx1_1	Zhx1	2038	1451
Recql_4	Recql	4228	3259
Stk40_2	Stk40	2853	2164
Ak6_1	Ak6	458	296
Zfp652_3	Zfp652	776	718
Irak3_3	Irak3	4330	3612
Trio_2	Trio	3340	3000
Hinfp_2	Hinfp	798	580
Sprr2f_2	Sprr2f	5870	4365
Mlxip_1	Mlxip	2699	2186
CTRL0086_1	CTRL0086	5734	4845
Utp14b_3	Utp14b	4687	3998
Scn2b_3	Scn2b	3743	3115
Cbln1_1	Cbln1	2421	2119
Klk1b3_3	Klk1b3	3949	3637
Prkch_2	Prkch	1587	1361
Nt5e_1	Nt5e	4819	4292
Naca_1	Naca	684	473
Ace_5	Ace	4364	3775
Tbl3_1	Tbl3	1308	776
Diap3_2	Diap3	3403	2831
Zhx1_3	Zhx1	916	903
Sub1_4	Sub1	713	680
Rbx1_1	Rbx1	375	332
Snx15_4	Snx15	3785	2972
Csnk2a1_2	Csnk2a1	798	662
Nlrp1b_2	Nlrp1b	4048	3158
Chrna2_1	Chrna2	3242	2443
Zbtb45_1	Zbtb45	5218	4656
Tob1_1	Tob1	272	286
Cnot6l_2	Cnot6l	930	1096
Colec11_2	Colec11	3245	2608
Dnm2_4	Dnm2	929	798
CTRL0047_1	CTRL0047	5298	4766
Ascl1_2	Ascl1	10281	7683
Thrap3_1	Thrap3	654	660
Slc18a2_5	Slc18a2	2963	2877
Cdc25a_1	Cdc25a	10526	8796
Commd1_2	Commd1	6083	5582
Il2rg_2	Il2rg	2509	2565
Ufm1_1	Ufm1	4112	4400
Mettl8_1	Mettl8	3415	2989
Imp3_2	Imp3	347	295
Emx2_4	Emx2	4429	3581
Mpp4_3	Mpp4	6096	5747
Fank1_1	Fank1	3160	2876
Ikbkg_4	Ikbkg	6074	5607
Tbca_1	Tbca	601	465
Ezh1_4	Ezh1	3697	3334
Nol6_4	Nol6	914	615
Nubp2_2	Nubp2	623	438
Senp2_2	Senp2	4652	4166
Stx16_1	Stx16	2082	1459
Ighmbp2_3	Ighmbp2	589	604
Atp1a1_4	Atp1a1	7697	7038
Eef1a2_3	Eef1a2	8176	6160
Colec11_5	Colec11	907	840
Lats2_2	Lats2	4525	3892
Cs_3	Cs	507	446
Cacnb4_1	Cacnb4	3044	2325
Phrf1_3	Phrf1	1331	1106
Hsp90ab1_4	Hsp90ab1	12259	10193
Ntan1_2	Ntan1	5072	4228
Ppt1_2	Ppt1	6269	5410
Ssbp2_4	Ssbp2	82	120
Cd44_5	Cd44	2292	1871
Bnip2_4	Bnip2	6199	4909
Zfp160_3	Zfp160	444	431
Cdan1_3	Cdan1	969	661
Fhl2_1	Fhl2	2450	1919
Mef2b_4	Mef2b	164	126
Isg20l2_2	Isg20l2	397	407
Hmmr_3	Hmmr	3544	2878
Atp5b_2	Atp5b	4371	3807
Sav1_1	Sav1	6432	5278
Tmco6_2	Tmco6	5588	4628
Nav3_3	Nav3	3797	2533
Stk24_4	Stk24	3453	2798
Icam1_5	Icam1	1802	1611
Tfap2b_4	Tfap2b	3114	2860
Elf5_1	Elf5	971	895
Wasl_4	Wasl	1884	1581
Obox1_1	Obox1	5917	5413
Akap17b_2	Akap17b	2748	2312
Arl4d_4	Arl4d	2637	2390
Hormad2_1	Hormad2	3577	3071
Rfxank_2	Rfxank	5068	4030
Zbtb43_4	Zbtb43	4908	4820
Zfp511_2	Zfp511	4560	3759
Smg1_1	Smg1	292	242
C330007P06Rik_1	C330007P06Rik	2520	2064
Api5_4	Api5	2460	2251
Sun1_2	Sun1	4823	4017
Gtf3c6_4	Gtf3c6	2135	1609
Slc7a5_3	Slc7a5	1840	1216
Nufip2_3	Nufip2	3248	2870
Rps6ka4_2	Rps6ka4	4282	3233
Hck_5	Hck	7338	5975
Hormad1_4	Hormad1	1304	1125
Ccdc155_2	Ccdc155	1982	1713
Ncapg2_4	Ncapg2	819	590
Hey2_1	Hey2	5337	4746
Qprt_1	Qprt	10563	8965
Nup210_3	Nup210	2198	1613
Hnrnpk_4	Hnrnpk	546	236
Taf11_1	Taf11	920	874
Nedd4l_5	Nedd4l	7969	6669
Mettl14_4	Mettl14	2034	1984
Chd7_3	Chd7	3860	3779
Psmd10_4	Psmd10	4331	3308
Crabp2_4	Crabp2	6680	5237
Sap25_2	Sap25	4329	3994
Golga4_3	Golga4	3860	3429
Brd7_1	Brd7	1215	950
Pax4_3	Pax4	3528	2795
Irx6_3	Irx6	4546	3585
Spdyb_3	Spdyb	2657	2117
Elac1_1	Elac1	3788	3464
Zfp105_3	Zfp105	1178	1319
Magi3_1	Magi3	7665	5688
Sash3_1	Sash3	4791	3620
Klf11_2	Klf11	8300	6042
Gata1_4	Gata1	7967	6645
Gtf2e1_1	Gtf2e1	314	157
Gchfr_1	Gchfr	4646	4243
Wdr26_1	Wdr26	3290	2996
Scn3b_4	Scn3b	5548	4984
Zscan29_3	Zscan29	519	510
Yap1_3	Yap1	668	497
Pklr_3	Pklr	3667	3083
Mcc_3	Mcc	5221	4777
Noc3l_1	Noc3l	1832	1755
Foxn4_3	Foxn4	7388	5704
Lmbr1_4	Lmbr1	2614	2278
Unk_3	Unk	2483	1743
Kdm4a_2	Kdm4a	1469	1452
Igfn1_3	Igfn1	3863	3270
Oprm1_5	Oprm1	3820	3180
Baz1a_3	Baz1a	910	1105
Arrb1_3	Arrb1	2077	2049
Ncl_1	Ncl	582	347
Hoxa11_1	Hoxa11	7478	5373
Nqo1_1	Nqo1	3336	2785
Zic3_1	Zic3	11475	10738
Polm_2	Polm	5227	4198
Zmiz1_1	Zmiz1	8477	7189
Gabrg3_3	Gabrg3	3331	3377
Rnf146_4	Rnf146	4167	3514
Mta3_4	Mta3	900	604
Tsc22d4_2	Tsc22d4	8208	6859
Tktl1_1	Tktl1	2157	1639
Msi2_4	Msi2	6485	5331
Smpx_2	Smpx	3698	2343
Nqo2_5	Nqo2	5211	4272
Tulp3_4	Tulp3	2027	2007
Ebna1bp2_3	Ebna1bp2	38	22
Hmgb3_2	Hmgb3	1667	1484
Phb_4	Phb	2938	2359
Ngdn_3	Ngdn	1122	951
Zak_1	Zak	5113	4018
CTRL0082_1	CTRL0082	8312	7036
Taco1_2	Taco1	4584	3906
Tgs1_3	Tgs1	385	309
Rock2_1	Rock2	12724	10735
Foxn1_4	Foxn1	7399	5632
Relb_1	Relb	6364	5486
AI607873_3	AI607873	7340	6411
Ddx59_2	Ddx59	652	479
Ccdc110_2	Ccdc110	529	380
Krt18_1	Krt18	6277	5702
Rrm2b_1	Rrm2b	2640	2378
Pfkp_1	Pfkp	2278	1624
Kin_3	Kin	631	525
Nras_4	Nras	2142	1715
Chil3_4	Chil3	1137	875
Lmbr1_2	Lmbr1	1330	999
Prox2_4	Prox2	2558	1800
Gli2_4	Gli2	481	330
Sprtn_2	Sprtn	755	556
Kcnh1_1	Kcnh1	4903	4331
Speg_1	Speg	3694	2964
Mettl8_2	Mettl8	3590	2542
Pdc_3	Pdc	5853	5017
Parpbp_4	Parpbp	2402	2205
Pdgfc_1	Pdgfc	3978	3279
Nfyb_1	Nfyb	23	3
Ints4_2	Ints4	1166	900
Jun_3	Jun	22074	18960
Srsf2_4	Srsf2	2042	1459
Cnot6_1	Cnot6	1863	1638
Cebpd_1	Cebpd	6598	5115
Khdrbs1_3	Khdrbs1	2194	1690
Kpnb1_3	Kpnb1	946	685
Fam83g_2	Fam83g	5706	4693
Rad51d_4	Rad51d	1363	1168
Rfx8_1	Rfx8	3128	2327
Bmp2k_3	Bmp2k	3625	3095
Hdac9_5	Hdac9	3270	2945
Tcea3_3	Tcea3	7698	5325
Omp_4	Omp	4227	3299
Txnrd3_5	Txnrd3	6083	5347
Sall2_2	Sall2	7775	6068
Rbbp4_4	Rbbp4	737	570
Srsf6_3	Srsf6	2647	1789
Smad5_3	Smad5	698	763
Clasrp_1	Clasrp	1329	1149
H1foo_4	H1foo	3493	2920
Zfp827_4	Zfp827	4171	3528
Gcat_2	Gcat	2930	2520
Emx1_4	Emx1	5649	5090
Car1_4	Car1	4653	3839
Sumo1_2	Sumo1	218	194
Dntt_1	Dntt	6913	5871
Ang_4	Ang	6345	5301
Dnajb5_1	Dnajb5	3842	3418
Npc1l1_5	Npc1l1	3536	2390
Wtip_3	Wtip	2231	1813
Nsmce2_1	Nsmce2	261	253
Adra2b_4	Adra2b	2448	2369
Ddx6_2	Ddx6	226	154
Nthl1_4	Nthl1	3011	2455
Nhlrc1_3	Nhlrc1	6159	4946
Skp2_1	Skp2	2750	2138
Jmjd6_4	Jmjd6	2319	1908
Ddx27_1	Ddx27	666	865
Zfp286_2	Zfp286	2639	2118
Slc25a22_4	Slc25a22	4459	3696
Smc1a_3	Smc1a	751	703
Zcrb1_1	Zcrb1	0	38
Hsp90ab1_3	Hsp90ab1	11992	10188
Wnt5a_5	Wnt5a	7000	4638
Nrep_1	Nrep	1949	1572
Thoc5_2	Thoc5	699	582
Nobox_4	Nobox	219	163
Gucy1a2_2	Gucy1a2	3415	2594
Zscan22_1	Zscan22	2221	1700
Hoxd9_4	Hoxd9	5764	4784
Ubiad1_3	Ubiad1	6551	5297
Ppy_4	Ppy	4880	3869
Med6_3	Med6	6185	5313
Cebpg_2	Cebpg	639	651
Sdr9c7_1	Sdr9c7	5069	4561
Gsx1_1	Gsx1	6109	5577
Ins2_2	Ins2	4272	3663
Git2_1	Git2	4130	3830
Smyd2_4	Smyd2	4203	3633
Pop5_2	Pop5	530	379
Pde9a_1	Pde9a	6447	5200
Idh2_5	Idh2	334	263
Zfp467_2	Zfp467	1471	1181
Prtn3_1	Prtn3	2014	1519
Mcm10_3	Mcm10	1934	1374
Sirt6_1	Sirt6	5301	4341
Pax4_1	Pax4	5019	3998
Htra2_2	Htra2	3744	3076
Ccnl1_1	Ccnl1	198	294
Sord_2	Sord	10378	9424
Tcf7_1	Tcf7	1251	1068
Rad23b_2	Rad23b	904	604
Chuk_1	Chuk	7905	6930
Chrac1_3	Chrac1	2963	2414
Dbf4_4	Dbf4	1969	1690
Mau2_3	Mau2	2258	2130
Cnot11_3	Cnot11	2453	2273
Pla2g4c_1	Pla2g4c	8148	6638
Slbp_2	Slbp	1519	1256
Pcdhb21_3	Pcdhb21	3896	3247
Mmp24_1	Mmp24	1339	806
Nab2_1	Nab2	2529	2057
Retsat_2	Retsat	3751	3093
Msc_4	Msc	3861	4012
Htr5a_2	Htr5a	5731	5066
Cenpl_4	Cenpl	913	696
Asxl1_2	Asxl1	2214	1637
Ccdc89_2	Ccdc89	1848	1509
Plk3_1	Plk3	1697	1626
Aldh3a1_3	Aldh3a1	9291	8773
Prdx2_1	Prdx2	3867	3397
Rnf40_4	Rnf40	1399	1138
Antxr1_2	Antxr1	5587	4586
Haus7_1	Haus7	1048	890
Zfp637_1	Zfp637	4124	3014
Msgn1_3	Msgn1	3134	2646
Myod1_2	Myod1	9461	7963
Mef2c_3	Mef2c	6220	5396
Zbtb33_4	Zbtb33	6925	5684
Tmem109_3	Tmem109	2980	2456
Mars_1	Mars	610	446
Casp8ap2_1	Casp8ap2	3101	2451
Smug1_3	Smug1	4222	3682
Car2_2	Car2	2688	2401
Psmb10_3	Psmb10	2767	2204
Zak_3	Zak	3952	3175
Ppil2_3	Ppil2	368	471
Cpsf4_3	Cpsf4	2432	2118
Ada_2	Ada	5511	4495
Cenpk_3	Cenpk	3033	2492
Slc16a3_1	Slc16a3	5015	3914
Polr1e_4	Polr1e	2102	1740
St18_4	St18	1161	715
3110052M02Rik_2	3110052M02Rik	670	409
Nemf_2	Nemf	3901	3292
Rps18_3	Rps18	529	598
Ppp6c_1	Ppp6c	1188	846
Elf4_1	Elf4	7466	6358
Tsfm_2	Tsfm	897	1255
Epn3_4	Epn3	4948	3727
Dnajb4_1	Dnajb4	2437	1706
Med4_3	Med4	9844	8689
Tead2_2	Tead2	3845	3593
Rec8_4	Rec8	2718	2453
Phc3_4	Phc3	6027	4818
Rbpj_4	Rbpj	6007	5103
Gemin7_2	Gemin7	563	471
Pacrg_3	Pacrg	8047	6120
Trex2_3	Trex2	3312	2833
Relb_4	Relb	4303	4277
Cdca5_1	Cdca5	1051	916
Fgf14_2	Fgf14	2378	1960
Ang4_4	Ang4	705	599
Leo1_1	Leo1	3316	3339
Katnbl1_1	Katnbl1	4413	4081
Dcaf8_4	Dcaf8	5463	4049
Zfp618_2	Zfp618	6860	6723
Nop56_1	Nop56	651	549
Srsf9_3	Srsf9	1248	938
Zfp879_4	Zfp879	5599	4375
Tfdp2_3	Tfdp2	509	441
Carf_2	Carf	690	635
Tdp1_2	Tdp1	1122	1052
Khdrbs3_2	Khdrbs3	4147	4150
Art1_3	Art1	6507	5192
Ccbl1_4	Ccbl1	14859	11711
Exo1_4	Exo1	1581	1279
Trip10_5	Trip10	3128	2490
Tatdn1_1	Tatdn1	646	449
Polg2_1	Polg2	7595	7261
Rpl17_2	Rpl17	1123	784
Npm2_1	Npm2	2758	2552
Tpr_1	Tpr	1494	1386
Ifrd2_4	Ifrd2	5759	4852
Camk1_3	Camk1	1154	968
Synpo2l_1	Synpo2l	7561	6150
Zfp326_3	Zfp326	2177	1691
Lin9_3	Lin9	1639	1495
Cdk20_3	Cdk20	6639	5272
Pik3c2b_1	Pik3c2b	2720	2205
Epn1_2	Epn1	8597	7030
Ncoa3_3	Ncoa3	1536	1032
Irs1_4	Irs1	6811	5452
Gucy1a2_3	Gucy1a2	5850	4838
Gm4981_1	Gm4981	4814	4018
Zfp3_2	Zfp3	315	318
Mbp_1	Mbp	4761	3984
Htr7_1	Htr7	5112	3682
Hoxc6_1	Hoxc6	1098	968
Baz1a_2	Baz1a	1803	1191
Tdrp_2	Tdrp	5164	4208
Akt1s1_2	Akt1s1	4798	3891
Il1r2_1	Il1r2	9347	7871
Adcy1_3	Adcy1	11616	9011
Rps3_1	Rps3	655	591
Nabp2_3	Nabp2	2979	2615
Xpo1_5	Xpo1	509	305
Snrnp27_2	Snrnp27	1029	891
Cacna2d2_1	Cacna2d2	2384	2548
Mus81_4	Mus81	1405	849
Adrbk2_3	Adrbk2	5100	4191
Acat1_5	Acat1	1164	853
Socs4_3	Socs4	3420	3130
Dag1_3	Dag1	4459	3961
Itgb3_2	Itgb3	3682	2921
Csnk1e_3	Csnk1e	6148	5307
Kpna3_1	Kpna3	3352	2912
Prtn3_4	Prtn3	3399	2818
Hif1an_3	Hif1an	858	697
Uba7_2	Uba7	6893	5767
Cidea_4	Cidea	6456	5314
Gars_1	Gars	5387	4922
Msx2_2	Msx2	1310	1129
Tlr7_5	Tlr7	4662	3894
Ippk_4	Ippk	6205	5343
Phax_1	Phax	283	299
Nudt21_3	Nudt21	932	750
Usp47_3	Usp47	1229	1075
Taf9b_2	Taf9b	8649	7031
Cenpf_1	Cenpf	1191	975
Ebf2_1	Ebf2	4118	3064
Ctcf_3	Ctcf	2506	1965
Mrps31_4	Mrps31	2600	1966
Hdac6_5	Hdac6	4261	3730
Eri1_3	Eri1	86	65
Smad1_1	Smad1	4544	3644
Cul5_4	Cul5	4609	4204
Kcnh1_4	Kcnh1	5974	5044
Pink1_3	Pink1	9372	7057
Ttbk2_3	Ttbk2	3523	2838
Klf3_2	Klf3	3676	2842
Mrpl40_2	Mrpl40	1261	1058
Vsx2_1	Vsx2	3461	2732
Abcc1_2	Abcc1	3324	1720
R3hcc1l_2	R3hcc1l	6626	5248
Triobp_4	Triobp	4802	3602
Mbtd1_4	Mbtd1	1597	1154
Nfx1_4	Nfx1	4195	3607
Cabyr_3	Cabyr	4450	3893
Fbxl14_1	Fbxl14	2411	2043
Zrsr2_1	Zrsr2	4105	3660
Epm2aip1_4	Epm2aip1	3919	3096
Polr2d_3	Polr2d	7108	5279
Nr2e3_2	Nr2e3	2783	2244
Otud7a_4	Otud7a	6946	6094
Cblc_4	Cblc	4635	3727
Ftmt_4	Ftmt	4258	3489
Ctsa_3	Ctsa	4478	3316
Dcxr_1	Dcxr	3915	3488
Rgs14_3	Rgs14	3304	2649
Fibp_2	Fibp	6542	5174
Clic1_3	Clic1	1421	985
Mdm1_3	Mdm1	1857	1609
Map3k4_1	Map3k4	2189	1663
Kri1_4	Kri1	1883	1299
Gabra5_1	Gabra5	2620	1811
Dcps_4	Dcps	17	67
Slc26a1_2	Slc26a1	4007	3766
Ramp3_2	Ramp3	4512	3574
Stk11_2	Stk11	2730	2332
Fam107a_1	Fam107a	6431	5420
Drd5_1	Drd5	5862	4685
Mllt10_2	Mllt10	4868	4127
Ipo13_4	Ipo13	1160	964
Usp8_4	Usp8	889	634
Nup160_1	Nup160	810	762
Trib3_1	Trib3	6667	5012
Prdx5_4	Prdx5	14430	11858
Med18_4	Med18	6592	5817
Ebna1bp2_2	Ebna1bp2	1394	1168
Meis1_3	Meis1	1424	1229
Chd9_1	Chd9	4191	3634
Cdc20_4	Cdc20	1165	993
Rnf4_3	Rnf4	1574	1978
Cblb_1	Cblb	820	699
Nr5a2_2	Nr5a2	2863	2373
Fubp3_4	Fubp3	1438	1052
Rpl22_1	Rpl22	4541	4457
Tekt3_2	Tekt3	2832	2366
Polr2d_2	Polr2d	987	1211
Bcas3_2	Bcas3	7463	6960
Nfkbia_4	Nfkbia	2400	1739
Amot_3	Amot	4389	3820
Rad50_4	Rad50	1317	941
Orc2_4	Orc2	1127	998
Pir_3	Pir	5489	4712
Spata2_1	Spata2	2941	2081
Apaf1_2	Apaf1	5568	5347
Trmt5_3	Trmt5	228	179
Rpa3_4	Rpa3	464	656
Zbtb22_3	Zbtb22	3126	3320
Tsc22d3_1	Tsc22d3	4507	3684
Atrx_2	Atrx	9428	8041
Zfp106_1	Zfp106	7054	5536
Dcps_1	Dcps	2346	2060
Lhx5_1	Lhx5	4614	4368
Ifnar2_5	Ifnar2	4011	3438
Fam206a_3	Fam206a	4933	4069
Zfp287_4	Zfp287	971	878
Cstf2_3	Cstf2	763	541
Hnmt_1	Hnmt	4589	3956
Mphosph6_3	Mphosph6	556	489
Sstr1_4	Sstr1	1199	1147
Gnai2_2	Gnai2	2736	2390
Stk3_4	Stk3	3207	2674
Atad5_2	Atad5	1542	1237
Gapdhs_4	Gapdhs	3889	3108
Mylk2_1	Mylk2	5854	4841
Casp8ap2_3	Casp8ap2	1087	1052
Naa38_1	Naa38	1645	1424
Ap2m1_1	Ap2m1	69	43
Mpl_4	Mpl	4818	3577
Pdgfc_2	Pdgfc	3493	3208
Agtr1b_3	Agtr1b	4278	3579
Clcc1_2	Clcc1	5555	4642
Phf12_3	Phf12	1517	1240
Zhx2_2	Zhx2	350	473
Rbm28_1	Rbm28	779	702
Lrrc16a_2	Lrrc16a	3929	3029
Msantd4_4	Msantd4	7535	5929
Cpsf4_1	Cpsf4	6484	6141
Taf7_4	Taf7	4068	3104
Vprbp_3	Vprbp	1118	1103
Lsm6_1	Lsm6	818	646
Odf2_4	Odf2	6096	4900
Irx3_4	Irx3	1993	1942
Bcl6_2	Bcl6	11300	9332
Spata2_2	Spata2	2917	2310
Flcn_3	Flcn	959	922
Zbtb33_3	Zbtb33	33	13
P2rx5_4	P2rx5	3347	2882
CTRL0097_1	CTRL0097	8809	7221
Nppb_4	Nppb	4350	4126
Nos2_3	Nos2	10738	8425
2210018M11Rik_2	2210018M11Rik	3042	3609
Foxh1_2	Foxh1	4693	4197
Cdk13_1	Cdk13	4694	4364
Nckipsd_4	Nckipsd	5441	4135
Urb2_2	Urb2	759	961
Eid3_1	Eid3	2081	1797
Pyhin1_2	Pyhin1	6657	5848
Wdhd1_3	Wdhd1	843	722
Keap1_4	Keap1	5178	4502
Rsbn1_4	Rsbn1	4403	3703
Ino80b_2	Ino80b	2125	1830
Fam50b_2	Fam50b	12634	9560
Adra1b_5	Adra1b	903	471
Cenpv_3	Cenpv	4730	3698
Cib1_3	Cib1	7250	5715
Las1l_1	Las1l	5620	5648
Ace2_3	Ace2	4127	3693
Clcc1_3	Clcc1	7012	6077
Oip5_4	Oip5	988	934
Hspd1_2	Hspd1	312	301
Max_3	Max	2426	2493
Acat2_1	Acat2	7431	6502
Prpf4b_4	Prpf4b	3000	1905
Neurog2_2	Neurog2	4653	3954
Mapk7_2	Mapk7	5548	4857
Nol8_3	Nol8	3673	2962
Dxo_4	Dxo	3233	2642
Pgk2_3	Pgk2	6472	5731
Isl1_1	Isl1	4917	3851
Pdcd6_1	Pdcd6	2246	1926
E2f2_2	E2f2	7895	6822
Prpf39_2	Prpf39	4329	3392
Gadd45b_1	Gadd45b	6048	5257
Ldb1_3	Ldb1	3231	2333
Gli2_3	Gli2	7554	6462
Dars_4	Dars	451	385
Nol12_1	Nol12	2484	1670
Rab11fip3_4	Rab11fip3	8662	6594
Nr5a2_1	Nr5a2	2638	1909
Eaf2_3	Eaf2	1634	900
Rnaseh2a_3	Rnaseh2a	208	266
Ctr9_2	Ctr9	1606	1077
Catip_3	Catip	4853	3576
Setd8_3	Setd8	488	154
Etv4_2	Etv4	779	580
Tsr1_2	Tsr1	672	519
Ntrk2_3	Ntrk2	5191	4159
Dcaf13_1	Dcaf13	1447	1276
Taf3_2	Taf3	1336	914
Ralgapa1_1	Ralgapa1	6534	5586
Apobec3_2	Apobec3	5463	4642
Htr1a_3	Htr1a	1884	1791
Twist1_1	Twist1	20697	17693
Camkk2_1	Camkk2	4233	3535
Setd7_1	Setd7	4124	3182
Snapc2_3	Snapc2	1934	1569
Hspa4l_2	Hspa4l	6956	6197
Itgav_5	Itgav	618	773
Pmel_5	Pmel	1808	1756
Kat7_1	Kat7	1420	1174
Mtap7d3_3	Mtap7d3	3450	3332
Txnrd1_3	Txnrd1	1204	943
Smad6_4	Smad6	8591	7174
Hand2_2	Hand2	5578	4477
Cdk4_1	Cdk4	2664	2374
Qrich1_2	Qrich1	2202	1805
Acsl3_3	Acsl3	2977	2637
Zfp131_3	Zfp131	159	243
Ftmt_1	Ftmt	2819	2670
Akap7_1	Akap7	2028	1839
Rpl10a_1	Rpl10a	562	442
Iqsec1_2	Iqsec1	5787	4437
Tbpl2_2	Tbpl2	561	479
Henmt1_3	Henmt1	4055	3755
Dcaf6_1	Dcaf6	2190	1953
Snrpd1_2	Snrpd1	132	179
Meiob_2	Meiob	3930	3345
Cops4_2	Cops4	1332	1436
CTRL0115_1	CTRL0115	8634	7555
Kcnh2_1	Kcnh2	10110	8254
Hsp90aa1_5	Hsp90aa1	2729	1971
Ryr2_2	Ryr2	9221	7391
Camk2d_4	Camk2d	1894	1548
Cnot7_3	Cnot7	1499	1080
Impdh2_2	Impdh2	10796	8740
Tyw1_2	Tyw1	6239	5346
Rps6ka2_2	Rps6ka2	2393	2362
G6pdx_4	G6pdx	2929	3049
Prmt8_4	Prmt8	3691	2864
Zbtb5_3	Zbtb5	5128	4358
Epha6_1	Epha6	4427	4022
Parp16_2	Parp16	2791	2724
Dlx2_2	Dlx2	6683	5630
Dpp4_4	Dpp4	2233	2018
Pdpk1_3	Pdpk1	5137	3968
Ybey_1	Ybey	1649	1383
App_2	App	5410	4688
Prop1_1	Prop1	3888	3076
